Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
ERR6454461	92.897481683	48.0	4278.3166284	564504.0	40.0
ERR6454462	93.9139593778	47.0	4055.19770878	699716.0	40.0
ERR6454463	94.3454462884	49.0	4303.72069188	627565.0	40.0
ERR6454464	91.7430690435	49.0	4505.18569993	456683.0	40.0
ERR6454465	93.074638236	48.0	4240.80058252	519814.0	40.0
ERR6454466	88.0403305435	51.0	4052.97996395	301806.0	40.0
ERR6454467	89.2174897995	49.0	4238.3421441	241901.0	40.0
ERR6454468	90.2152804354	50.0	4240.57606424	770855.0	30.0
ERR6454469	90.4019508683	50.0	4333.68197668	950141.0	40.0
ERR6454470	95.3177965964	50.0	4257.1456982	1543739.0	40.0
ERR6454471	91.7077118573	48.0	4249.49538768	273073.0	40.0
ERR6454472	91.7671406636	49.0	4249.24221243	149790.0	40.0
ERR6454473	88.7954208018	50.0	4311.29675901	511880.0	40.0
ERR6454474	93.8474247204	48.0	3843.04964966	642804.0	40.0
ERR6454475	94.6787847581	48.0	4081.9885974	656429.0	40.0
ERR6454476	93.7448673223	45.0	4249.49335988	761055.0	40.0
ERR6454477	93.4013653681	47.0	4268.57540661	775615.0	40.0
ERR6454478	89.7698823269	50.0	4201.09010943	162569.0	40.0
