Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
A3_21R.hifi_reads	53.5801081475	53.0	1671.44887296	65836.0	30.0
FS1_21R.hifi_reads	93.9371111297	48.0	2769.41036801	35841.0	40.0
FS2_21R.hifi_reads	81.9042316258	47.0	2977.64365256	1796.0	40.0
FS7_21R.hifi_reads	44.78390462	50.0	1353.18926975	1342.0	30.0
FS9_21R.hifi_reads	92.4229337305	47.0	3019.74808637	33575.0	40.0
Mock_21R.hifi_reads	81.3810741688	49.0	3490.67178176	5865.0	40.0
NH1_21R.hifi_reads	94.3129574843	47.0	1144.94240038	143994.0	40.0
NH4_21R.hifi_reads	85.6782334385	47.0	1582.82294953	25360.0	40.0
Sim17_21R.hifi_reads	86.0046982291	49.0	2711.91711842	33204.0	40.0
Sim22_21R.hifi_reads	75.751590959	49.0	1308.23348694	9114.0	40.0
TS_3C_21R.hifi_reads	74.8349514563	54.0	1597.3157767	20600.0	40.0
TS_3C_21R_D.hifi_reads	83.6385948765	54.0	1448.25795367	65190.0	40.0
TS_4b2_21R.hifi_reads	80.742913001	52.0	935.323865382	71610.0	40.0
TS_4b2_21R_D.hifi_reads	73.7571600311	52.0	1141.9569691	28282.0	40.0
TS_9C_21R.hifi_reads	76.2440103207	50.0	2856.83943973	27130.0	40.0
TS_HM22_21R.hifi_reads	48.8510925884	54.0	1325.49087632	8878.0	30.0
Th16_21R.hifi_reads	71.6301351883	49.0	1927.55952225	15238.0	40.0
Th38_21R.hifi_reads	89.2669421819	52.0	1301.42290254	49846.0	40.0
Th40_21R.hifi_reads	61.2253462023	49.0	1461.4796475	2383.0	40.0
X17007_21R.hifi_reads	46.7547655245	54.0	1112.26686937	34204.0	20.0
X579_21R.hifi_reads	60.3977669225	54.0	1593.95975808	8598.0	40.0
