name	LWR	fract	aLWR	afract	taxopath
centroid=seq180_27;seqs=3	0	0	1	1	Vampyrellida
centroid=seq180_27;seqs=3	0	0	1	1	Vampyrellida;Leptophryidae
centroid=seq180_27;seqs=3	0.9974	0.9974	1	1	Vampyrellida;Leptophryidae;Pseudovampyrella
centroid=seq180_27;seqs=3	0.0004434	0.0004434	0.0004434	0.0004434	Vampyrellida;Leptophryidae;Pseudovampyrella;Pseudovampyrella_minor_strainVC02
centroid=seq180_27;seqs=3	0.00215	0.00215	0.00215	0.00215	Vampyrellida;Leptophryidae;Pseudovampyrella;Pseudovampyrella_closterii_strain_VC01
centroid=seq272_8;seqs=21	0	0	0.998	1	Vampyrellida
centroid=seq272_8;seqs=21	0	0	0.998	1	Vampyrellida;Leptophryidae
centroid=seq272_8;seqs=21	0.998	1	0.998	1	Vampyrellida;Leptophryidae;Leptophrys
centroid=seq203_18;seqs=1	0	0	0.9997	1	Vampyrellida
centroid=seq203_18;seqs=1	0	0	0.9997	1	Vampyrellida;Leptophryidae
centroid=seq203_18;seqs=1	0.7138	0.714	0.9997	1	Vampyrellida;Leptophryidae;Leptophrys
centroid=seq203_18;seqs=1	0.1284	0.1284	0.1284	0.1284	Vampyrellida;Leptophryidae;Leptophrys;Leptophrys_vorax_strain_LV03
centroid=seq203_18;seqs=1	0.1283	0.1284	0.1283	0.1284	Vampyrellida;Leptophryidae;Leptophrys;Leptophrys_vorax_strain_LV02
centroid=seq203_18;seqs=1	0.01622	0.01622	0.01622	0.01622	Vampyrellida;Leptophryidae;Leptophrys;Leptophrys_vorax_strain_LAK2013
centroid=seq203_18;seqs=1	0.01295	0.01296	0.01295	0.01296	Vampyrellida;Leptophryidae;Leptophrys;Leptophrys_vorax_strain_RV01
centroid=seq169_23;seqs=10	0	0	0.9971	1	Vampyrellida
centroid=seq169_23;seqs=10	0	0	0.9971	1	Vampyrellida;Leptophryidae
centroid=seq169_23;seqs=10	0.9971	1	0.9971	1	Vampyrellida;Leptophryidae;Leptophrys
centroid=seq169_23;seqs=10	1.279e-05	1.283e-05	1.279e-05	1.283e-05	Vampyrellida;Leptophryidae;Leptophrys;Leptophrys_X
centroid=seq13_300;seqs=5	0	0	0.954	1	Vampyrellida
centroid=seq13_300;seqs=5	0	0	0.954	1	Vampyrellida;Vampyrellidae
centroid=seq13_300;seqs=5	0.6791	0.7119	0.954	1	Vampyrellida;Vampyrellidae;Vampyrella
centroid=seq13_300;seqs=5	0.06874	0.07206	0.06874	0.07206	Vampyrellida;Vampyrellidae;Vampyrella;Vampyrella_lateritia_strain_VL10
centroid=seq13_300;seqs=5	0.06874	0.07206	0.06874	0.07206	Vampyrellida;Vampyrellidae;Vampyrella;Vampyrella_lateritia_strain_VL06
centroid=seq13_300;seqs=5	0.0687	0.07202	0.0687	0.07202	Vampyrellida;Vampyrellidae;Vampyrella;Vampyrella_lateritia_strain_VL09
centroid=seq13_300;seqs=5	0.0687	0.07201	0.0687	0.07201	Vampyrellida;Vampyrellidae;Vampyrella;Vampyrella_lateritia_strain_VL08
centroid=seq335_6;seqs=1	0	0	1	1	Vampyrellida
centroid=seq335_6;seqs=1	0	0	1	1	Vampyrellida;Leptophryidae
centroid=seq335_6;seqs=1	0.06967	0.06967	1	1	Vampyrellida;Leptophryidae;Leptophrys
centroid=seq335_6;seqs=1	0.9303	0.9303	0.9303	0.9303	Vampyrellida;Leptophryidae;Leptophrys;Leptophrys_vorax_strain_LV04
centroid=seq335_6;seqs=1	1.262e-05	1.262e-05	1.262e-05	1.262e-05	Vampyrellida;Leptophryidae;Leptophrys;Leptophrys_vorax_strain_LV01
centroid=seq17_129;seqs=2	0	0	1	1	Vampyrellida
centroid=seq17_129;seqs=2	0	0	1	1	Vampyrellida;Placopodidae
centroid=seq17_129;seqs=2	0.0002079	0.0002079	1	1	Vampyrellida;Placopodidae;Placopus
centroid=seq17_129;seqs=2	0.9998	0.9998	0.9998	0.9998	Vampyrellida;Placopodidae;Placopus;Placopus_flabellus_HR01
