LWR	fract	aLWR	afract	taxopath
0	0	6.949	1	Vampyrellida
0	0	4.995	0.7188	Vampyrellida;Leptophryidae
0.9974	0.1435	1	0.1439	Vampyrellida;Leptophryidae;Pseudovampyrella
0.0004434	6.381e-05	0.0004434	6.381e-05	Vampyrellida;Leptophryidae;Pseudovampyrella;Pseudovampyrella_minor_strainVC02
0.00215	0.0003095	0.00215	0.0003095	Vampyrellida;Leptophryidae;Pseudovampyrella;Pseudovampyrella_closterii_strain_VC01
2.779	0.3999	3.995	0.5749	Vampyrellida;Leptophryidae;Leptophrys
0.1284	0.01847	0.1284	0.01847	Vampyrellida;Leptophryidae;Leptophrys;Leptophrys_vorax_strain_LV03
0.1283	0.01847	0.1283	0.01847	Vampyrellida;Leptophryidae;Leptophrys;Leptophrys_vorax_strain_LV02
0.01622	0.002334	0.01622	0.002334	Vampyrellida;Leptophryidae;Leptophrys;Leptophrys_vorax_strain_LAK2013
0.01295	0.001864	0.01295	0.001864	Vampyrellida;Leptophryidae;Leptophrys;Leptophrys_vorax_strain_RV01
1.279e-05	1.841e-06	1.279e-05	1.841e-06	Vampyrellida;Leptophryidae;Leptophrys;Leptophrys_X
0.9303	0.1339	0.9303	0.1339	Vampyrellida;Leptophryidae;Leptophrys;Leptophrys_vorax_strain_LV04
1.262e-05	1.816e-06	1.262e-05	1.816e-06	Vampyrellida;Leptophryidae;Leptophrys;Leptophrys_vorax_strain_LV01
0	0	0.954	0.1373	Vampyrellida;Vampyrellidae
0.6791	0.09773	0.954	0.1373	Vampyrellida;Vampyrellidae;Vampyrella
0.06874	0.009893	0.06874	0.009893	Vampyrellida;Vampyrellidae;Vampyrella;Vampyrella_lateritia_strain_VL10
0.06874	0.009893	0.06874	0.009893	Vampyrellida;Vampyrellidae;Vampyrella;Vampyrella_lateritia_strain_VL06
0.0687	0.009887	0.0687	0.009887	Vampyrellida;Vampyrellidae;Vampyrella;Vampyrella_lateritia_strain_VL09
0.0687	0.009887	0.0687	0.009887	Vampyrellida;Vampyrellidae;Vampyrella;Vampyrella_lateritia_strain_VL08
0	0	1	0.1439	Vampyrellida;Placopodidae
0.0002079	2.992e-05	1	0.1439	Vampyrellida;Placopodidae;Placopus
0.9998	0.1439	0.9998	0.1439	Vampyrellida;Placopodidae;Placopus;Placopus_flabellus_HR01
