otu,confidence,sample,order,family,genus,species
centroid=seq114_23;seqs=1,0.2733,Sim22,Vampyrellida,Placopodidae,Placopus,Placopus_melkoniani_strain_MAC_1
centroid=seq123_26;seqs=5,4.248e-06,Sim22,Vampyrellida,Leptophryidae,Arachnomyxa,Arachnomyxa_cryptophaga
centroid=seq125_14;seqs=1,0.2563,NH4,Vampyrellida,Leptophryidae,Leptophryidae_X,Leptophryidae_X_strainVm
centroid=seq132_10;seqs=3,0.7579,NH1,Vampyrellida,Leptophryidae,Leptophryidae_X,Leptophryidae_X_strain_VI01
centroid=seq13_300;seqs=5,0.06874,Mock,Vampyrellida,Vampyrellidae,Vampyrella,Vampyrella_lateritia_strain_VL10
centroid=seq13_300;seqs=5,0.06874,Mock,Vampyrellida,Vampyrellidae,Vampyrella,Vampyrella_lateritia_strain_VL06
centroid=seq154_8;seqs=2,0.0003983,X17007,Vampyrellida,Sericomyxidae,Sericomyxidae_X,unassigned
centroid=seq15_113;seqs=1,0.005282,Th16,Vampyrellida,Placopodidae,unassigned,unassigned
centroid=seq169_23;seqs=10,1.279e-05,Mock,Vampyrellida,Leptophryidae,Leptophrys,Leptophrys_X
centroid=seq178_7;seqs=1,0.9805,NH4,Vampyrellida,Vampyrellidae,Vampyrella,Vampyrella_strain_NV01
centroid=seq17_129;seqs=2,0.9998,Mock,Vampyrellida,Placopodidae,Placopus,Placopus_flabellus_HR01
centroid=seq180_27;seqs=3,0.00215,Mock,Vampyrellida,Leptophryidae,Pseudovampyrella,Pseudovampyrella_closterii_strain_VC01
centroid=seq203_18;seqs=1,0.01622,Mock,Vampyrellida,Leptophryidae,Leptophrys,Leptophrys_vorax_strain_LAK2013
centroid=seq226_21;seqs=1,0.9147,Sim22,Vampyrellida,Sericomyxidae,Sericomyxidae_X,unassigned
centroid=seq272_8;seqs=21,0.998,Mock,Vampyrellida,Leptophryidae,Leptophrys,unassigned
centroid=seq302_33;seqs=2,0.4639,Sim17,Vampyrellida,Leptophryidae,Arachnomyxa,Arachnomyxa_cryptophaga
centroid=seq335_6;seqs=1,0.9303,Mock,Vampyrellida,Leptophryidae,Leptophrys,Leptophrys_vorax_strain_LV04
centroid=seq36_87;seqs=2,0.9996,Th38,Vampyrellida,Leptophryidae,unassigned,unassigned
centroid=seq385_27;seqs=1,0.3111,Sim22,Vampyrellida,PurpleVamp,clade_PurpleVamp_X,clade_PurpleVamp_XX
centroid=seq56_37;seqs=1,0.2595,Th16,Vampyrellida,Arachnulidae,unassigned,unassigned
centroid=seq65_61;seqs=1,0.9995,Sim17,Vampyrellida,PurpleVamp,clade_PurpleVamp_X,clade_PurpleVamp_XX
centroid=seq74_34;seqs=1,0.5962,Th38,Vampyrellida,Leptophryidae,Leptophryidae_X,Leptophryidae_XX
