otu,confidence,sample,order,family,genus,species
centroid=seq36_87;seqs=2,96.0,Th38,Vampyrellida,Leptophryidae,Theratromyxa,Theratromyxa_weberi
centroid=seq74_34;seqs=1,99.4,Th38,Vampyrellida,Leptophryidae,Leptophryidae_X,Leptophryidae_XX
centroid=seq17_129;seqs=2,99.7,Mock,Vampyrellida,Placopodidae,Placopus,Placopus_flabellus_HR01
centroid=seq13_300;seqs=5,99.8,Mock,Vampyrellida,Vampyrellidae,Vampyrella,Vampyrella_lateritia_strain_VL09
centroid=seq180_27;seqs=3,99.6,Mock,Vampyrellida,Leptophryidae,Pseudovampyrella,Pseudovampyrella_closterii_strain_VC01
centroid=seq169_23;seqs=10,94.1,Mock,Vampyrellida,Leptophryidae,Leptophrys,Leptophrys_vorax_strain_LV02
centroid=seq203_18;seqs=1,91.0,Mock,Vampyrellida,Leptophryidae,Leptophrys,Leptophrys_vorax_strain_LV02
centroid=seq272_8;seqs=21,99.0,Mock,Vampyrellida,Leptophryidae,Leptophrys,Leptophrys_vorax_strain_LV02
centroid=seq335_6;seqs=1,98.2,Mock,Vampyrellida,Leptophryidae,Leptophrys,Leptophrys_vorax_strain_LV04
centroid=seq123_26;seqs=5,97.5,Sim22,Vampyrellida,Leptophryidae,Theratromyxa,Theratromyxa_weberi
centroid=seq385_27;seqs=1,96.6,Sim22,Vampyrellida,PurpleVamp,clade_PurpleVamp_X,clade_PurpleVamp_XX
centroid=seq226_21;seqs=1,85.5,Sim22,Vampyrellida,Sericomyxidae,Sericomyxa,Sericomyxa_perlucida_strain_BWH1_7
centroid=seq302_33;seqs=2,97.6,Sim17,Vampyrellida,Leptophryidae,Arachnomyxa,Arachnomyxa_cryptophaga
centroid=seq65_61;seqs=1,99.9,Sim17,Vampyrellida,PurpleVamp,clade_PurpleVamp_X,clade_PurpleVamp_XX
centroid=seq125_14;seqs=1,97.2,NH4,Vampyrellida,Leptophryidae,Theratromyxa,Theratromyxa_weberi
centroid=seq178_7;seqs=1,99.8,NH4,Vampyrellida,Vampyrellidae,Vampyrella,Vampyrella_strain_NV01
centroid=seq154_8;seqs=2,88.4,X17007,Vampyrellida,Sericomyxidae,Sericomyxa,Sericomyxa_perlucida_strain_BWH1_7
centroid=seq15_113;seqs=1,89.3,Th16,Vampyrellida,Vampyrellida_clade_B2,clade_B2_X,clade_B2_XX
centroid=seq56_37;seqs=1,86.6,Th16,Vampyrellida,Vampyrellidae,Vampyrella,Vampyrella_X
centroid=seq132_10;seqs=3,99.6,NH1,Vampyrellida,Leptophryidae,Leptophryidae_X,Leptophryidae_X_strain_VI01
